feature,disease
"Acro-osteolysis, Distal Phalangeal Erosion",Acrodystrophic neuropathy
"Acro-osteolysis, Distal Phalangeal Erosion",Acrogeria                                                 
"Acro-osteolysis, Distal Phalangeal Erosion",Acroosteolysis-proximal symphangilism
"Acro-osteolysis, Distal Phalangeal Erosion",Arteriosclerosis obliterans
"Acro-osteolysis, Distal Phalangeal Erosion",Bureau-Barriere syndrome
"Acro-osteolysis, Distal Phalangeal Erosion",Carpal tunnel syndrome
"Acro-osteolysis, Distal Phalangeal Erosion","Chondrodysplasia punctata, tibial-metacarpal type"
"Acro-osteolysis, Distal Phalangeal Erosion","Chondrodysplasia punctata, X-linked recessive (Curry) type"
"Acro-osteolysis, Distal Phalangeal Erosion",Dermatomyositis 
"Acro-osteolysis, Distal Phalangeal Erosion",Diabetes mellitus
"Acro-osteolysis, Distal Phalangeal Erosion",Disseminated lipogranulomatosis
"Acro-osteolysis, Distal Phalangeal Erosion",Dysosteosclerosis
"Acro-osteolysis, Distal Phalangeal Erosion",Ectodermal dysplasia
"Acro-osteolysis, Distal Phalangeal Erosion",Ehlers-Danlos syndrome
"Acro-osteolysis, Distal Phalangeal Erosion",Epidermolysis bullosa
"Acro-osteolysis, Distal Phalangeal Erosion",Familial neurogenic acroosteolysis
"Acro-osteolysis, Distal Phalangeal Erosion",Gout 
"Acro-osteolysis, Distal Phalangeal Erosion",Hajdu-Cheney syndrome
"Acro-osteolysis, Distal Phalangeal Erosion",Hyperparathyroidism
"Acro-osteolysis, Distal Phalangeal Erosion",Hypertrophic osteoarthropathy
"Acro-osteolysis, Distal Phalangeal Erosion","Hypotrichosis, palmoplantar keratoderma, acro-osteolysis, peridontitis"
"Acro-osteolysis, Distal Phalangeal Erosion",Idiopathic phalangeal acroosteolysis
"Acro-osteolysis, Distal Phalangeal Erosion",Insensitivity to pain (congenital)
"Acro-osteolysis, Distal Phalangeal Erosion",Leprosy
"Acro-osteolysis, Distal Phalangeal Erosion",Lesch-Nyhan syndrome
"Acro-osteolysis, Distal Phalangeal Erosion",Lethal  (osteosclerotic) skeletal dysplasia-Raine
"Acro-osteolysis, Distal Phalangeal Erosion",Lethal  progeroid syndrome with severe acroosteolysis
"Acro-osteolysis, Distal Phalangeal Erosion",Leukemia/lymphoma
"Acro-osteolysis, Distal Phalangeal Erosion",Lipoid dermatoarthritis 
"Acro-osteolysis, Distal Phalangeal Erosion",Mandibuloacral dysplasia
"Acro-osteolysis, Distal Phalangeal Erosion",Mixed  connective tissue disease
"Acro-osteolysis, Distal Phalangeal Erosion",Neurotropic diseases
"Acro-osteolysis, Distal Phalangeal Erosion","Oculoauricularvertebral spectrum-like, mullerian anomalies, acroosteolysis"
"Acro-osteolysis, Distal Phalangeal Erosion","Osteodysplasty, precocious"
"Acro-osteolysis, Distal Phalangeal Erosion",Osteomalacia
"Acro-osteolysis, Distal Phalangeal Erosion",Pachydermoperiostosis
"Acro-osteolysis, Distal Phalangeal Erosion","Palmoplantar keratosis, periodontosis, arachnodactyly, acroosteolysis, etc. (Cochin Jewish disorder)"
"Acro-osteolysis, Distal Phalangeal Erosion",Papillon-Lefevre syndrome
"Acro-osteolysis, Distal Phalangeal Erosion",Pityriasis rubra
"Acro-osteolysis, Distal Phalangeal Erosion",Polymyositis
"Acro-osteolysis, Distal Phalangeal Erosion",Porphyria
"Acro-osteolysis, Distal Phalangeal Erosion",Progeria
"Acro-osteolysis, Distal Phalangeal Erosion",Pseudoxanthoma elasticum
"Acro-osteolysis, Distal Phalangeal Erosion",Psoriasis
"Acro-osteolysis, Distal Phalangeal Erosion",Pycnodysostosis
"Acro-osteolysis, Distal Phalangeal Erosion",Raynaud disease
"Acro-osteolysis, Distal Phalangeal Erosion",Reiter syndrome
"Acro-osteolysis, Distal Phalangeal Erosion",Rheumatoid arthritis
"Acro-osteolysis, Distal Phalangeal Erosion",Rothmund-Thomson syndrome
"Acro-osteolysis, Distal Phalangeal Erosion",Sarcoidosis
"Acro-osteolysis, Distal Phalangeal Erosion",Satoyoshi syndrome
"Acro-osteolysis, Distal Phalangeal Erosion",Scleroderma
"Acro-osteolysis, Distal Phalangeal Erosion",Sezary syndrome
"Acro-osteolysis, Distal Phalangeal Erosion",Singleton-Merten syndrome
"Acro-osteolysis, Distal Phalangeal Erosion",Sjogren syndrome
"Acro-osteolysis, Distal Phalangeal Erosion",Spinal dysraphism
"Acro-osteolysis, Distal Phalangeal Erosion",Syringomyelia
"Acro-osteolysis, Distal Phalangeal Erosion",Thevenard syndrome
"Acro-osteolysis, Distal Phalangeal Erosion",tibial-metacarpal type
"Acro-osteolysis, Distal Phalangeal Erosion",Vinyl chloride exposure
"Acro-osteolysis, Distal Phalangeal Erosion",Werner syndrome
"Acro-osteolysis, Distal Phalangeal Erosion",Winchester syndrome
Arachnodactyly,Adducted thumbs-clubfoot syndrome
Arachnodactyly,Antley-Bixler syndrome
Arachnodactyly,"Arachnodactyly, brachycephaly, thin lips, microsomia, hypoplastic external genitalia, and mental retardation"
Arachnodactyly,Arterial tortuosity syndrome
Arachnodactyly,Chromosome disorders
Arachnodactyly,Chromosome XYY syndrome
Arachnodactyly,Contractural arachnodactyly
Arachnodactyly,Ehlers-DanJos syndrome
Arachnodactyly,Familial arachnodactyly and  distal arthtogryposis
Arachnodactyly,Frontometaphyseal dysplasia
Arachnodactyly,Galoway-Mowat syndrome
Arachnodactyly,Gorlin syndrome
Arachnodactyly,"Haim-Munk syndrome (palmoplantar hyperkeratosis, dental abnormalities, arachnodactyly) "
Arachnodactyly,"Harrod syndrome (dysmorphism, arachnodactyly, MR, hypogonadism) "
Arachnodactyly,Homocystinuria
Arachnodactyly,"Ichthyosiform erythroderma, retinitis pigmentosa"
Arachnodactyly,Ichthyosis syndromes
Arachnodactyly,Marden-Walker syndrome
Arachnodactyly,Marfan syndrome  .
Arachnodactyly,Marfan-like with  spastic paraparesis
Arachnodactyly,"Multiple endocrine neoplasia, type liB "
Arachnodactyly,Myotonic dystrophy
Arachnodactyly,PHACE  association
Arachnodactyly,"Pontocerebellar hypoplasia, dysmorphism "
Arachnodactyly,Rieger syndrome
Arachnodactyly,Shprintzen-Goldberg syndrome
Arachnodactyly,Sotos syndrome
Arachnodactyly,Stickler syndrome
Arachnodactyly,Van den Ende-Gupta syndrome
Bowed Tubular Bones,"""Minor tibial duplication"" causing congenital bowing of tibia, associated with homolateral bifid great toe "
Bowed Tubular Bones,"Absent tibiae, triphalangeal thumbs, and polydactyly"
Bowed Tubular Bones,Achondroplasia
Bowed Tubular Bones,Antley-Bixler syndrome
Bowed Tubular Bones,Asymmetric and symmetric bowing and dolichomacrocephaly in sibs (Moore)
Bowed Tubular Bones,Atelosteogenesis  
Bowed Tubular Bones,"Blomstrand dysplasia: lethal congenital dwarfism, generalized skeletal sclerosis, and accelerated bone maturation (Young)"
Bowed Tubular Bones,Blount disease
Bowed Tubular Bones,Boomerang dysplasia
Bowed Tubular Bones,Brachmann-de Lange syndrome
Bowed Tubular Bones,Calvarial doughnut lesions-osteoporosis-dentinogenesis imperfecta
Bowed Tubular Bones,Campomelic dysplasia
Bowed Tubular Bones,"Chondrodysplasia punctata, tibial-metacarpal type"
Bowed Tubular Bones,Chondroectodermal dysplasia
Bowed Tubular Bones,Cloverleaf skull deformity
Bowed Tubular Bones,"Congenital bowing of long bones, camptodactyly, clubfeet, agenesis corpus callosum"
Bowed Tubular Bones,Contractural arachnodactyly
Bowed Tubular Bones,"Craniofacial dysostosis, limb malformations, omphalocele"
Bowed Tubular Bones,Cumming syndrome
Bowed Tubular Bones,de la Chapelle dysplasia
Bowed Tubular Bones,Diastrophic dysplasia
Bowed Tubular Bones,Distal osteosclerosis (fibula) 
Bowed Tubular Bones,Dysscgmental dysplasia   
Bowed Tubular Bones,Epidermal nevus syndrome 
Bowed Tubular Bones,Familial congenital bowing of the long bones
Bowed Tubular Bones,"Familial hydrocephalus, hypoplastic lungs, bowed tibiae, etc"
Bowed Tubular Bones,Fibrochondrogenesis
Bowed Tubular Bones,Fibrous dysplasia
Bowed Tubular Bones,Fibular aplasia-ectrodactyly
Bowed Tubular Bones,"Fibular aplasia, tibial campomelia, oligosyndactyly"
Bowed Tubular Bones,"Frank-ter Haar syndrome (megalocornea, dysmorphism, bowed long bones, finger flexion deformities"
Bowed Tubular Bones,Fuhrmann syndrome
Bowed Tubular Bones,GM1 gangliosidosis
Bowed Tubular Bones,Grant syndrome
Bowed Tubular Bones,Hemihypertrophy
Bowed Tubular Bones,Homocystinuria
Bowed Tubular Bones,Hydrolethalus syndrome
Bowed Tubular Bones,Hyperparathyroidism
Bowed Tubular Bones,Hyperphosphatasemia
Bowed Tubular Bones,Hypophosphatasia
Bowed Tubular Bones,Infant of the diabetic mother
Bowed Tubular Bones,Infantile multisystem inflammatory disease
Bowed Tubular Bones,Intrauterine positional deformity
Bowed Tubular Bones,Isolated anomaly
Bowed Tubular Bones,Klippel-Trenaunay syndrome 
Bowed Tubular Bones,Koller syndrome ˆ
Bowed Tubular Bones,Kyphomelic dysplasia
Bowed Tubular Bones,Larsen syndrome
Bowed Tubular Bones,Lethal (osteosclerotic) skeletal dysplasia-Astley-Kendall
Bowed Tubular Bones,Maffucci  syndrome
Bowed Tubular Bones,Mesomelia/campomelia/polydactyly/ Dandy-Walker cyst
Bowed Tubular Bones,"Metaphyseal chondrodysplasia, anadysplasia type"
Bowed Tubular Bones,"Metaphyseal chondrodysplasia, Jansen type"
Bowed Tubular Bones,"Metaphyseal chondrodysplasia, McKusick type"
Bowed Tubular Bones,"Metaphyseal chondrodysplasia, Schmid type"
Bowed Tubular Bones,Mucolipidoses
Bowed Tubular Bones,Mucopolysaccharidoses
Bowed Tubular Bones,Occipital horn syndrome
Bowed Tubular Bones,Oligohydramnios
Bowed Tubular Bones,Ophthalmo-mandibulo-melic dysplasia
Bowed Tubular Bones,"Osteodysplasty, Melnick-Needles"
Bowed Tubular Bones,"Osteodysplasty, precocious"
Bowed Tubular Bones,"Osteogenesis irnperfecta, all types"
Bowed Tubular Bones,Osteolysis with nephropathy
Bowed Tubular Bones,Osteomalacia
Bowed Tubular Bones,"Otopalatodigital syndrome, type I"
Bowed Tubular Bones,"Otopalatodigital syndrome, type II"
Bowed Tubular Bones,Pachydysostosis of the fibula: broad and elongated fibula with lateral bowing (Maroteaux)
Bowed Tubular Bones,Panostotic fibrous dysplasia
Bowed Tubular Bones,Parastremmatic dysplaia
Bowed Tubular Bones,Physiologic bowing of infancy
Bowed Tubular Bones,Pointer syndrome
Bowed Tubular Bones,"Polydactyly, campomdia, ambiguous genitaia, cystic dysplastic kidneys, and cerebral malformations"
Bowed Tubular Bones,Proximal  femoral focal deficiency
Bowed Tubular Bones,Pseudoarthrosis
Bowed Tubular Bones,Pseudohypoparathyroidim
Bowed Tubular Bones,Rickets
Bowed Tubular Bones,Schwarz-Lelek syndrome
Bowed Tubular Bones,Serpentine fibula-polycystic kidney
Bowed Tubular Bones,Short rib-polydactyly syndrome
Bowed Tubular Bones,"Skeletal dysplasia-""pursed lips"" - ectopia lentis"
Bowed Tubular Bones,Thanatophoric dysplasia
Bowed Tubular Bones,Thanatophoric variant
Bowed Tubular Bones,Tibia vara due to focal fibrocartilaginous dysplasia
Bowed Tubular Bones,Weismann-Netter syndrome
Syndromic Brachydactyly, Acrocapitofemoral dysplasia 
Syndromic Brachydactyly, Neu-Laxova syndrome
Syndromic Brachydactyly,"""Baby rattle"" pelvis dysplasia"
Syndromic Brachydactyly,Aarskog syndrome
Syndromic Brachydactyly,"Absent tibia, brachyphalangy, polydactyly"
Syndromic Brachydactyly,Achondroplasia
Syndromic Brachydactyly,Acro-cranio-facial dysostosis
Syndromic Brachydactyly,Acro-fronto-facionasal dysostosis
Syndromic Brachydactyly,Acrocallosal syndrome
Syndromic Brachydactyly,Acrodysostosis
Syndromic Brachydactyly,Acrodysostosis and  protrusioacetabuli
Syndromic Brachydactyly,"Acrodysplasia, ossification defects  hands/feet, microcrania, fibular hypoplasia"
Syndromic Brachydactyly,Acromesomelic dysplasia
Syndromic Brachydactyly,Acromesomelic dysplasia-genital anomalies
Syndromic Brachydactyly,acromicric dysplasia
Syndromic Brachydactyly,Acrorenal syndrome (Dieker-Opitz syndrome)
Syndromic Brachydactyly,AcroscyphodyspIia
Syndromic Brachydactyly,Angel-shaped  phalango-epiphyseal dysplasia
Syndromic Brachydactyly,Angelman syndrome
Syndromic Brachydactyly,Asphyxiating thoracic dysplasia
Syndromic Brachydactyly,"Autosomal-recessive short-limb dwarfism, absent fibulae, and  brachydactyly"
Syndromic Brachydactyly,Bardet-Biedl syndrome
Syndromic Brachydactyly,"Biemond  syndrome I: brachydactyly, nystagmus, strabismus, cerebellar ataxia, and mental retardation"
Syndromic Brachydactyly,Bilginturan syndrome
Syndromic Brachydactyly,Brachydactylic multiple delta phalanges plus syndrome
Syndromic Brachydactyly,Brachydactyly type A4 with short stature (familial)
Syndromic Brachydactyly,"Brachydactyly (middle phalanges of the index and little fingers) ""secondary"" to pheochromocytoma "
Syndromic Brachydactyly,"Brachydactyly E-plus syndrome (dysmorphism, increased bone density, MR)"
Syndromic Brachydactyly,"Brachydactyly type A1, degenerative arthrosis, scoliosis"
Syndromic Brachydactyly,"Brachydactyly type A1, dwarfism, ptosis, deafness, microcephaly, and mental retardation"
Syndromic Brachydactyly,Brachydactyly-nail dysplasia
Syndromic Brachydactyly,"Brachydactyly, biliary atresia, patent ductus, seizures"
Syndromic Brachydactyly,"Brachydactyly, coloboma, anterior segment (eye) dysgenesis"
Syndromic Brachydactyly,"Brachydactyly, ectrodactyly, and absence or hypoplasia of the fibula"
Syndromic Brachydactyly,"Brachydactyly, ectrodactyly, and onchodystrophy"
Syndromic Brachydactyly,"Brachydactyly, mesomelia, mental retardation, aortic dilatation,and mitral valve prolapse"
Syndromic Brachydactyly,"Brachydactyly, Robin sequence, MR"
Syndromic Brachydactyly,"Brachydactyly, syndactyly, polydactyly (hand), oligodactyly (feet)"
Syndromic Brachydactyly,Brachymesophalangy-nail dysplaia
Syndromic Brachydactyly,Brachyolmia     
Syndromic Brachydactyly,Carpenter syndrome
Syndromic Brachydactyly,Catel-Manzke syndrome
Syndromic Brachydactyly,Cheirolumbar dysostosis
Syndromic Brachydactyly,"Chondrodysplasia punctata, brachytelephalangic type"
Syndromic Brachydactyly,"Chondrodysplasia-microphthalmia (platyspondyly, brachydactyly, hydrocephalus)"
Syndromic Brachydactyly,Chondrodysplasia-pseudohermaphrodism
Syndromic Brachydactyly,Chondroectodermal dysplasia
Syndromic Brachydactyly,Christian spondylo-digital syndrome
Syndromic Brachydactyly,Chromosome 13 trisomy syndrome
Syndromic Brachydactyly,Chromosome 18 trisomy syndrome
Syndromic Brachydactyly,Chromosome XXXXX syndrome
Syndromic Brachydactyly,Chromosome XXXXY syndrome
Syndromic Brachydactyly,CODAS syndrome
Syndromic Brachydactyly,Congenital dyserythropoietic anemia-plus
Syndromic Brachydactyly,"Contractures, pterygia, umbilical hernia, dysmorphism, brachydactyly"
Syndromic Brachydactyly,"Corneal dystrophy, hyperkeratosis, short stature, brachydactyly, and premature birth; autosomal dominant"
Syndromic Brachydactyly,Cryptomicrotia-brachydactyly syndrome
Syndromic Brachydactyly,Diastrophic dysplasia
Syndromic Brachydactyly,DOOR syndrome
Syndromic Brachydactyly,Down syndrome
Syndromic Brachydactyly,Du Pan syndrome
Syndromic Brachydactyly,"Dysmorphism, pigmented nevi, osteoporosis, brachydactyly"
Syndromic Brachydactyly,Eiken dysplasia
Syndromic Brachydactyly,Epidermal nevus syndrome
Syndromic Brachydactyly,Faciothoracoskeletal syndrome
Syndromic Brachydactyly,"Familial brachydactyly type A7 (Smorgasbord): types A2, D, and some features of other brachydactyly types"
Syndromic Brachydactyly,"Familial brachydactyly type C, shortening of big toes, and cup-shaped ears"
Syndromic Brachydactyly,Familial brachydactyly type E and heart defect
Syndromic Brachydactyly,"Familial brachydactyly with hypoplastic thumbs and great toes, and coalescence of the carpal and  tarsal bones"
Syndromic Brachydactyly,"Familial brachydactyly, short stature, and small ears "
Syndromic Brachydactyly,Familial preaxial brachydactyly with abduction of thumbs and hallux varus
Syndromic Brachydactyly,Fanconi anemia
Syndromic Brachydactyly,Feingold syndrome
Syndromic Brachydactyly,Fetal alcohol syndrome
Syndromic Brachydactyly,FGFR-opathy 
Syndromic Brachydactyly,Fibrochondrogenesis
Syndromic Brachydactyly,Fibrodysplasia ossificans progressiva
Syndromic Brachydactyly,Fibular aplasia-ectrodactyly
Syndromic Brachydactyly,"Fibular deficiency, dysmorphism, brachydactyly, MR, clinodactyly 2/5"
Syndromic Brachydactyly,"Fitzsimmons syndrome: progressive spastic paraplegia, dysartrhia, brachydactyly, cone-shaped epiphyses"
Syndromic Brachydactyly,Floating-Harbor syndrome
Syndromic Brachydactyly,Fountain syndrome  
Syndromic Brachydactyly,"Frias syndrome (growth deficiency, dysmorphism, brachydactyly)"
Syndromic Brachydactyly,Frostbite
Syndromic Brachydactyly,Genitopatellar syndrome
Syndromic Brachydactyly,Goltz syndrome
Syndromic Brachydactyly,GOMBO syndrome 
Syndromic Brachydactyly,Goodman syndrome
Syndromic Brachydactyly,"Grange syndrome (multiple arterial occlusions, brachysyndactyly)"
Syndromic Brachydactyly,Grebe chondrodysplasia
Syndromic Brachydactyly,Gurrieri syndrome
Syndromic Brachydactyly,Hand-foot-genital syndrome 
Syndromic Brachydactyly,"Hand-heart syndrome (conduction defect, cardiomyopathy, brachydactyly)"
Syndromic Brachydactyly,Hanhart syndrome
Syndromic Brachydactyly,Heart-hand syndrome
Syndromic Brachydactyly,Heart-hand syndrome III (Spanish  type)
Syndromic Brachydactyly,Herrmann-Opitz syndrome
Syndromic Brachydactyly,Hirschsprung disease and brachydactyly
Syndromic Brachydactyly,Holt-Oram syndrome
Syndromic Brachydactyly,Hydrops-ectopic calcification-moth-eaten skeletal dysplasia
Syndromic Brachydactyly,Hyperparathyroidism (secondary)
Syndromic Brachydactyly,Hyperthyroidism
Syndromic Brachydactyly,"Hypertrichosis, coarse face, brachydactyly, obesity, MR"
Syndromic Brachydactyly,"Hypertrichosis, gingival fibromatosis, MR, seizures"
Syndromic Brachydactyly,Hypochondroplasia
Syndromic Brachydactyly,Hypoparathyroidism
Syndromic Brachydactyly,Hypophosphatasia
Syndromic Brachydactyly,Hypothyroidism
Syndromic Brachydactyly,Insensitivity to pain (congenital)
Syndromic Brachydactyly,Iso-Kikuchi syndrome plus
Syndromic Brachydactyly,Jackson-Weiss syndrome
Syndromic Brachydactyly,Juberg-Hayward syndrome
Syndromic Brachydactyly,Kabuki make-up syndrome
Syndromic Brachydactyly,KBG syndrome
Syndromic Brachydactyly,Keutel syndrome
Syndromic Brachydactyly,Larsen syndrome
Syndromic Brachydactyly,Lesch-Nyhan syndrome
Syndromic Brachydactyly,"Liebenberg syndrome (brachydactyly, carpal fusion, elbow dislocation)"
Syndromic Brachydactyly,"Lymphedema, brachysyndactyly, tachycardia"
Syndromic Brachydactyly,Martsolf syndrome
Syndromic Brachydactyly,"MCA syndrome (mullerian dysgenesis, deafness, forearm deformity, brachydactyly, spinal stenosis)"
Syndromic Brachydactyly,"MED-multilayered patella. brachydactyly, clubfeet"
Syndromic Brachydactyly,"Mesomelic dysplasia, Nievergelt type"
Syndromic Brachydactyly,"Metaphyseal chondrodysplasia, McKusick type"
Syndromic Brachydactyly,Metaphyseal dysplasia with maxillary hypoplasia and brachydactyly; autosomal dominant
Syndromic Brachydactyly,Metatropic dysplasia
Syndromic Brachydactyly,Microcephalic osteodysplastic dysplasia
Syndromic Brachydactyly,"Microcephaly, hand anomalies"
Syndromic Brachydactyly,"Microcephaly, mesobrachy-phalangy, and tracehoesophageal fistula (MMT syndrome)"
Syndromic Brachydactyly,Mitral valve insufficiency-deafness-skeletal malformation
Syndromic Brachydactyly,Mobius syndrome
Syndromic Brachydactyly,MODED  syndrome
Syndromic Brachydactyly,Moore-Federman syndrome
Syndromic Brachydactyly,"MR, bulbous nasal tip, joint Iaxity/dislocation"
Syndromic Brachydactyly,"MR, megaepiphyses, hypoplastic fibula, brachymesophalangia"
Syndromic Brachydactyly,"MR, polydactyly, phalangeal hypoplasia, uncomable hair"
Syndromic Brachydactyly,"MR, preaxial brachydactyly, hyperphalangism, deafness"
Syndromic Brachydactyly,"Mseleni joint disease (brachy-dactylous dwarfs of Mseleni in Zululand, South Africa)"
Syndromic Brachydactyly,Mucolipidosis II
Syndromic Brachydactyly,Mucolipidosis III 
Syndromic Brachydactyly,Mucopolysaccharidoses
Syndromic Brachydactyly,Nicolaides-Baraitser syndrome 
Syndromic Brachydactyly,Noonan  syndrome
Syndromic Brachydactyly,Oculo-dento-osseous dysplasia
Syndromic Brachydactyly,Onychonychia and absence and /or hypoplasia of distal phalanges
Syndromic Brachydactyly,Opitz trigonocephaly syndrome
Syndromic Brachydactyly,Orofaciodigital syndromes
Syndromic Brachydactyly,Osteocraniostenosis 
Syndromic Brachydactyly,"Osteosclerosis, dominant type "
Syndromic Brachydactyly,"Otopalatodigital syndrome, types I"
Syndromic Brachydactyly,"Otopalatodigital syndrome, types ll"
Syndromic Brachydactyly,Patterson syndrome
Syndromic Brachydactyly,Patterson-Lowry rhizomelic dysplasia
Syndromic Brachydactyly,Peters-plus syndrome
Syndromic Brachydactyly,Poland sequence
Syndromic Brachydactyly,Progeria
Syndromic Brachydactyly,Pseudohypoparathyroidism
Syndromic Brachydactyly,Pterygium syndrome
Syndromic Brachydactyly,Refsum  disease
Syndromic Brachydactyly,Rieger syndrome
Syndromic Brachydactyly,Robinow syndrome
Syndromic Brachydactyly,Rothmund-Thomson syndrome
Syndromic Brachydactyly,Rubinstein-Taybi syndrome
Syndromic Brachydactyly,Rudiger syndrome
Syndromic Brachydactyly,Sakati syndrome
Syndromic Brachydactyly,Schneckenbecken dysplasia
Syndromic Brachydactyly,Senior-Loken syndrome plus
Syndromic Brachydactyly,"Short rib - polydactyly syndrome, type I"
Syndromic Brachydactyly,"Short rib - polydactyly syndrome, type II"
Syndromic Brachydactyly,"Short rib - polydactyly syndrome, type III"
Syndromic Brachydactyly,"Short stature,  contractures, upper body pterygia, brachydactyly"
Syndromic Brachydactyly,"Short stature, brachydactyly E, exostoses, gynecomastia, cryptorchidism, 47XYY/45X/46XY mosaicism"
Syndromic Brachydactyly,"Short stature, brachydactyly, dysmorphism, delayed bone age (AR)"
Syndromic Brachydactyly,Silver-Russell syndrome
Syndromic Brachydactyly,Smith-Lemli-Opitz syndrome
Syndromic Brachydactyly,Smith-Magenis syndrome
